iter	Passed	Remaining
0	23	23105
1	49	24645
2	69	23201
3	89	22332
4	108	21540
5	129	21393
6	148	21086
7	165	20568
8	188	20730
9	209	20774
10	233	21031
11	258	21311
12	278	21125
13	297	20980
14	311	20457
15	327	20158
16	347	20102
17	366	19975
18	385	19880
19	403	19795
20	423	19736
21	441	19630
22	465	19756
23	477	19413
24	500	19517
25	523	19598
26	540	19474
27	561	19478
28	581	19470
29	600	19425
30	622	19446
31	644	19493
32	665	19510
33	690	19630
34	705	19464
35	731	19576
36	747	19464
37	767	19424
38	788	19417
39	803	19275
40	825	19301
41	850	19410
42	878	19559
43	907	19718
44	936	19873
45	964	20000
46	990	20076
47	1026	20358
48	1051	20416
49	1072	20386
50	1093	20343
51	1107	20197
52	1131	20211
53	1158	20294
54	1180	20281
55	1201	20251
56	1221	20203
57	1236	20078
58	1254	20013
59	1275	19986
60	1295	19944
61	1316	19920
62	1332	19812
63	1350	19746
64	1376	19795
65	1402	19845
66	1425	19847
67	1455	19942
68	1476	19923
69	1489	19793
70	1515	19830
71	1537	19819
72	1557	19781
73	1578	19747
74	1606	19807
75	1632	19845
76	1656	19855
77	1682	19892
78	1710	19942
79	1735	19960
80	1761	19981
81	1787	20011
82	1813	20031
83	1832	19983
84	1851	19930
85	1863	19802
86	1882	19751
87	1894	19632
88	1913	19588
89	1933	19550
90	1954	19526
91	1975	19498
92	2028	19782
93	2056	19822
94	2078	19802
95	2100	19784
96	2126	19799
97	2149	19782
98	2174	19788
99	2204	19839
100	2230	19857
101	2258	19881
102	2281	19869
103	2304	19856
104	2326	19830
105	2337	19713
106	2356	19669
107	2375	19620
108	2399	19612
109	2425	19624
110	2455	19667
111	2482	19680
112	2509	19699
113	2534	19700
114	2561	19712
115	2585	19702
116	2605	19664
117	2626	19635
118	2647	19602
119	2670	19585
120	2692	19560
121	2714	19535
122	2734	19499
123	2755	19463
124	2773	19414
125	2794	19381
126	2804	19280
127	2824	19243
128	2843	19199
129	2856	19116
130	2877	19087
131	2897	19050
132	2917	19019
133	2939	18994
134	2959	18962
135	2979	18930
136	3000	18899
137	3020	18866
138	3041	18841
139	3061	18809
140	3083	18782
141	3104	18758
142	3123	18718
143	3142	18683
144	3163	18651
145	3168	18533
146	3175	18428
147	3194	18389
148	3222	18405
149	3241	18370
150	3262	18342
151	3285	18330
152	3308	18312
153	3329	18287
154	3349	18258
155	3369	18229
156	3384	18173
157	3405	18149
158	3426	18125
159	3437	18048
160	3459	18028
161	3482	18014
162	3506	18006
163	3529	17993
164	3545	17942
165	3566	17919
166	3588	17899
167	3612	17890
168	3621	17807
169	3643	17787
170	3655	17719
171	3666	17650
172	3689	17637
173	3714	17631
174	3724	17557
175	3746	17541
176	3761	17489
177	3776	17437
178	3797	17418
179	3819	17400
180	3840	17378
181	3861	17354
182	3877	17309
183	3899	17291
184	3921	17274
185	3942	17254
186	3963	17233
187	3986	17219
188	4009	17203
189	4030	17182
190	4053	17167
